SAMPLE_POINT_ID,COLLECTION_DATE,Convert Date,Concantenate (Fake Year),Convert to Date Format (Fake Year),,RESULT,COLLECTION_TIME,SAMPLER,ENTRY_DATE,ANALYSIS_DATE,ANALYTE,STATUS,RESULT,UNITS,SAMPLE_ID,LAB_NAME,ANALYST,SAMPLE_TYPE
142A,01-OCT-13,10/01/13,10-1-2015,Err:502,22.2,22.2,09:15,ACS,29-OCT-13,,HEM - SGT HEM (Oil and Grease),APPROVED,22.2,MG/L,200380621,,WWURAP,PR OILTPH 01
142A,08-OCT-13,10/08/13,10-8-2015,Err:502,5,<5.4,08:45,ACS,03-NOV-13,,HEM - SGT HEM (Oil and Grease),APPROVED,<5.4,MG/L,200381098,,WWURAP,PR OILTPH 01
142A,15-OCT-13,10/15/13,10-15-2015,Err:502,46,46,09:40,ACS,07-NOV-13,,HEM - SGT HEM (Oil and Grease),APPROVED,46,MG/L,200381556,,WWURAP,PR OILTPH 01
142A,22-OCT-13,10/22/13,10-22-2015,Err:502,14.2,14.2,09:20,ACS,13-NOV-13,,HEM - SGT HEM (Oil and Grease),APPROVED,14.2,MG/L,200382067,,WWURAP,PR OILTPH 01
142A,29-OCT-13,10/29/13,10-29-2015,Err:502,23.6,23.6,09:50,ACS,20-NOV-13,,HEM - SGT HEM (Oil and Grease),APPROVED,23.6,MG/L,200382530,,WWURAP,PR OILTPH 01
142A,06-NOV-13,11/06/13,11-6-2015,Err:502,5.6,5.6,10:30,CJP,24-APR-15,,HEM - SGT HEM (Oil and Grease),APPROVED,5.6,MG/L,200383067,,WWUSXH,PR OILTPH 01
142A,13-NOV-13,11/13/13,11-13-2015,Err:502,24,24,14:50,CJP,02-DEC-13,,HEM - SGT HEM (Oil and Grease),APPROVED,24,MG/L,200383483,,WWURAP,PR OILTPH 01
142A,19-NOV-13,11/19/13,11-19-2015,Err:502,16.4,16.4,09:45,CP ,24-APR-15,,HEM - SGT HEM (Oil and Grease),APPROVED,16.4,MG/L,200383885,,WWUSXH,PR OILTPH 01
142A,25-NOV-13,11/25/13,11-25-2015,Err:502,36,36,09:30,CJP,10-DEC-13,,HEM - SGT HEM (Oil and Grease),APPROVED,36,MG/L,200384292,,WWUSXH,PR OILTPH 01
142A,03-DEC-13,12/03/13,12-3-2015,Err:502,14,14,15:00,ACM,17-DEC-13,,HEM - SGT HEM (Oil and Grease),APPROVED,14,MG/L,200384701,,WWUSXH,PR OILTPH 01
142A,10-DEC-13,12/10/13,12-10-2015,Err:502,15,15,10:40,ACM,08-JAN-14,,HEM - SGT HEM (Oil and Grease),APPROVED,15,MG/L,200385142,,WWURAP,PR OILTPH 01
142A,17-DEC-13,12/17/13,12-17-2015,Err:502,25,25,00:25,ACM,07-JAN-14,,HEM - SGT HEM (Oil and Grease),APPROVED,25,MG/L,200385587,,WWURAP,PR OILTPH 01
142A,30-DEC-13,12/30/13,12-30-2015,Err:502,20,20,10:40,ACM,09-JAN-14,,HEM - SGT HEM (Oil and Grease),APPROVED,20,MG/L,200386352,,WWURAP,PR OILTPH 01
142A,08-JAN-14,01/08/14,1-8-2015,Err:502,15.2,15.2,13:55,JDG,04-FEB-14,,HEM - SGT HEM (Oil and Grease),APPROVED,15.2,MG/L,200386866,,WWURAP,PR OILTPH 01
142A,15-JAN-14,01/15/14,1-15-2015,Err:502,18,18,11:15,JDG,09-FEB-14,,HEM - SGT HEM (Oil and Grease),APPROVED,18,MG/L,200387366,,WWURAP,PR OILTPH 01
142A,22-JAN-14,01/22/14,1-22-2015,Err:502,12,12,11:05,JDG,04-FEB-14,,HEM - SGT HEM (Oil and Grease),APPROVED,12,MG/L,200387758,,WWURAP,PR OILTPH 01
142A,29-JAN-14,01/29/14,1-29-2015,Err:502,37,37,12:40,JDG,27-FEB-14,,HEM - SGT HEM (Oil and Grease),APPROVED,37,MG/L,200388222,,WWURAP,PR OILTPH 01
142A,04-FEB-14,02/04/14,2-4-2015,Err:502,26,26,12:00,JDG,02-MAR-14,,HEM - SGT HEM (Oil and Grease),APPROVED,26,MG/L,200388590,,WWURAP,PR OILTPH 01
142A,12-FEB-14,02/12/14,2-12-2015,Err:502,34,34,14:00,JDG,26-FEB-14,,HEM - SGT HEM (Oil and Grease),APPROVED,34,MG/L,200389192,,WWURAP,PR OILTPH 01
142A,04-MAR-14,03/04/14,3-4-2015,Err:502,35,35,12:45,JDG,20-MAR-14,,HEM - SGT HEM (Oil and Grease),APPROVED,35,MG/L,200390410,,WWURAP,PR OILTPH 01
142A,12-MAR-14,03/12/14,3-12-2015,Err:502,37,37,14:15,JDG,25-MAR-14,,HEM - SGT HEM (Oil and Grease),APPROVED,37,MG/L,200390977,,WWURAP,PR OILTPH 01
142A,02-APR-14,04/02/14,4-2-2015,Err:502,62.4,62.4,13:10,JDG,16-APR-14,,HEM - SGT HEM (Oil and Grease),APPROVED,62.4,MG/L,200392355,,WWURAP,PR OILTPH 01
142A,08-APR-14,04/08/14,4-8-2015,Err:502,13.2,13.2,09:30,JDG,20-APR-14,,HEM - SGT HEM (Oil and Grease),APPROVED,13.2,MG/L,200392727,,WWURAP,PR OILTPH 01
142A,15-APR-14,04/15/14,4-15-2015,Err:502,44,44,10:20,JDG,24-APR-14,,HEM - SGT HEM (Oil and Grease),APPROVED,44,MG/L,200393217,,WWURAP,PR OILTPH 01
142A,22-APR-14,04/22/14,4-22-2015,Err:502,16,16,12:25,ACS,07-MAY-14,,HEM - SGT HEM (Oil and Grease),APPROVED,16,MG/L,200393706,,WWURAP,PR OILTPH 01
142A,01-MAY-14,05/01/14,5-1-2015,Err:502,55,55,11:15,JDG,13-MAY-14,,HEM - SGT HEM (Oil and Grease),APPROVED,55,MG/L,200394284,,WWURAP,PR OILTPH 01
142A,07-MAY-14,05/07/14,5-7-2015,Err:502,30,30,14:25,JDG,19-MAY-14,,HEM - SGT HEM (Oil and Grease),APPROVED,30,MG/L,200394715,,WWURAP,PR OILTPH 01
142A,14-MAY-14,05/14/14,5-14-2015,Err:502,25.4,25.4,14:35,JDG,28-MAY-14,,HEM - SGT HEM (Oil and Grease),APPROVED,25.4,MG/L,200395217,,WWURAP,PR OILCMP 01
142A,21-MAY-14,05/21/14,5-21-2015,Err:502,21,21,11:15,JDG,03-JUN-14,,HEM - SGT HEM (Oil and Grease),APPROVED,21,MG/L,200395696,,WWURAP,PR OILTPH 01
142A,28-MAY-14,05/28/14,5-28-2015,Err:502,33,33,09:10,JDG,11-JUN-14,,HEM - SGT HEM (Oil and Grease),APPROVED,33,MG/L,200396116,,WWURAP,PR OILTPH 01
142A,11-JUN-14,06/11/14,6-11-2015,Err:502,26,26,09:10,JDG,26-JUN-14,,HEM - SGT HEM (Oil and Grease),APPROVED,26,MG/L,200397057,,WWURAP,PR OILTPH 01
142A,04-JUN-14,06/04/14,6-4-2015,Err:502,18,18,13:45,JDG,19-JUN-14,,HEM - SGT HEM (Oil and Grease),APPROVED,18,MG/L,200396598,,WWURAP,PR OILTPH 01
142A,18-JUN-14,06/18/14,6-18-2015,Err:502,43,43,12:20,JDG,06-JUL-14,,HEM - SGT HEM (Oil and Grease),APPROVED,43,MG/L,200397509,,WWURAP,PR OILTPH 01
142A,25-JUN-14,06/25/14,6-25-2015,Err:502,24.1,24.1,14:05,JDG,10-JUL-14,,HEM - SGT HEM (Oil and Grease),APPROVED,24.1,MG/L,200398020,,WWURAP,PR OILTPH 01
142A,02-JUL-14,07/02/14,7-2-2015,Err:502,16,16,10:05,JDG,10-JUL-14,,HEM - SGT HEM (Oil and Grease),APPROVED,16,MG/L,200398453,,WWURAP,PR OILTPH 01
142A,16-JUL-14,07/16/14,7-16-2015,Err:502,44,44,09:15,JDG,31-JUL-14,,HEM - SGT HEM (Oil and Grease),APPROVED,44,MG/L,200399378,,WWURAP,PR OILTPH 01
142A,23-JUL-14,07/23/14,7-23-2015,Err:502,19,19,13:10,JDG,10-AUG-14,,HEM - SGT HEM (Oil and Grease),APPROVED,19,MG/L,200399890,,WWURAP,PR OILTPH 01
142A,30-JUL-14,07/30/14,7-30-2015,Err:502,14,14,12:00,CJP,19-AUG-14,,HEM - SGT HEM (Oil and Grease),APPROVED,14,MG/L,200400363,,WWURAP,PR OILTPH 01
142A,06-AUG-14,08/06/14,8-6-2015,Err:502,37.6,37.6,14:5,JDG,25-AUG-14,,HEM - SGT HEM (Oil and Grease),APPROVED,37.6,MG/L,200400870,,WWURAP,PR OILTPH 01
142A,13-AUG-14,08/13/14,8-13-2015,Err:502,13,13,09:50,CJP,28-AUG-14,,HEM - SGT HEM (Oil and Grease),APPROVED,13,MG/L,200401346,,WWURAP,PR OILTPH 01
142A,20-AUG-14,08/20/14,8-20-2015,Err:502,20.8,20.8,10;45,CJP,09-SEP-14,,HEM - SGT HEM (Oil and Grease),APPROVED,20.8,MG/L,200401841,,WWURAP,PR OILTPH 01
142A,27-AUG-14,08/27/14,8-27-2015,Err:502,20,20,11:55,JDG,09-SEP-14,,HEM - SGT HEM (Oil and Grease),APPROVED,20,MG/L,200402348,,WWURAP,PR OILTPH 01
142A,03-SEP-14,09/03/14,9-3-2015,Err:502,21,21,12:00,JDG,18-SEP-14,,HEM - SGT HEM (Oil and Grease),APPROVED,21,MG/L,200402750,,WWURAP,PR OILTPH 01
142A,10-SEP-14,09/10/14,9-10-2015,Err:502,18,18,15:20,ARL,24-SEP-14,,HEM - SGT HEM (Oil and Grease),APPROVED,18,MG/L,200403293,,WWURAP,PR OILTPH 01
142A,17-SEP-14,09/17/14,9-17-2015,Err:502,22,22,14:00,JDG,30-SEP-14,,HEM - SGT HEM (Oil and Grease),APPROVED,22,MG/L,200403817,,WWURAP,PR OILTPH 01
142A,24-SEP-14,09/24/14,9-24-2015,Err:502,160,160,11:00,JDG,06-OCT-14,,HEM - SGT HEM (Oil and Grease),APPROVED,160,MG/L,200404300,,WWUSXH,PR OILTPH 01
142A,01-OCT-14,10/01/14,10-1-2015,Err:502,21,21,09:40,CJP,10-OCT-14,,HEM - SGT HEM (Oil and Grease),APPROVED,21,MG/L,200404696,,WWUSXH,PR OILTPH 01
142A,22-OCT-14,10/22/14,10-22-2015,Err:502,17,17,13:55,JDG,12-NOV-14,,HEM - SGT HEM (Oil and Grease),APPROVED,17,MG/L,200406109,,WWURAP,PR OILTPH 01
142A,19-NOV-14,11/19/14,11-19-2015,Err:502,21,21,08:50,JDG,03-DEC-14,,HEM - SGT HEM (Oil and Grease),APPROVED,21,MG/L,200407976,,WWURAP,PR OILTPH 01
142A,17-DEC-14,12/17/14,12-17-2015,Err:502,21,21,13:50,JDG,08-JAN-15,,HEM - SGT HEM (Oil and Grease),APPROVED,21,MG/L,200409886,,WWURAP,PR OILTPH 02
142A,14-JAN-15,01/14/15,1-14-2015,Err:502,32,32,09:45,CJP,01-FEB-15,,HEM - SGT HEM (Oil and Grease),APPROVED,32,MG/L,200411558,,WWURAP,PR OILTPH 02
142A,18-FEB-15,02/18/15,2-18-2015,Err:502,39,39,13:55,JDG,03-MAR-15,,HEM - SGT HEM (Oil and Grease),APPROVED,39,MG/L,200413997,,WWURAP,PR OILTPH 02
142A,18-MAR-15,03/18/15,3-18-2015,Err:502,75,75,10:00,GGP,27-MAR-15,,HEM - SGT HEM (Oil and Grease),APPROVED,75,MG/L,200416329,,WWUSXH,PR OILTPH 02
EDITHI,28-APR-10,04/28/10,4-28-2015,Err:502,5.9,5.9,21:00,MPO,01-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,5.9,MG/L,200313665,ASSAIGAI,WWUJCG,PR OILCTR 01
EDITHI,03-MAY-10,05/03/10,5-3-2015,Err:502,8.1,8.1,21:00,JG ,01-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,8.1,MG/L,200313856,ASSAIGAI,WWUJCG,PR OILCTR 01
EDITHI,24-MAY-10,05/24/10,5-24-2015,Err:502,46.8,46.8,21:00,JG ,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,46.8,MG/L,200314763,ASSAIGAI,WWUAKS,PR OILCTR 01
EDITHI,01-JUN-10,06/01/10,6-1-2015,Err:502,15,15,21:00,MPO,01-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,15,MG/L,200315047,ASSAIGAI,WWUJCG,PR OILCTR 01
EDITHI,07-JUN-10,06/07/10,6-7-2015,Err:502,19.1,19.1,21:00,JG ,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,19.1,MG/L,200315293,ASSAIGAI,WWUAKS,PR OILCTR 01
EDITHI,14-JUN-10,06/14/10,6-14-2015,Err:502,23.2,23.2,21:00,MPO,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,23.2,MG/L,200315745,ASSAIGAI,WWUAKS,PR OILCTR 01
EDITHI,19-JUN-10,06/19/10,6-19-2015,Err:502,5.6,5.6,21:00,MPO,31-AUG-10,,HEM - SGT HEM (Oil and Grease),APPROVED,5.6,MG/L,200315921,ASSAIGAI,WWUJCG,PR OILCTR 01
EDITHI,26-JUN-10,06/26/10,6-26-2015,Err:502,5,5,21:00,MPO,01-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,5,MG/L,200316217,ASSAIGAI,WWUJCG,PR OILCTR 01
EDITHI,06-JUL-10,07/06/10,7-6-2015,Err:502,7.2,7.2,21:00,MPO,30-AUG-10,,HEM - SGT HEM (Oil and Grease),APPROVED,7.2,MG/L,200316630,ASSAIGAI,WWUJCG,PR OILCTR 01
EDITHI,13-JUL-10,07/13/10,7-13-2015,Err:502,7.6,7.6,21:00,JG ,31-AUG-10,,HEM - SGT HEM (Oil and Grease),APPROVED,7.6,MG/L,200316970,ASSAIGAI,WWUJCG,PR OILCTR 01
EDITHI,20-JUL-10,07/20/10,7-20-2015,Err:502,18,18,21:00,MPO,30-AUG-10,,HEM - SGT HEM (Oil and Grease),APPROVED,18,MG/L,200317297,ASSAIGAI,WWUJCG,PR OILCTR 01
EDITHI,27-JUL-10,07/27/10,7-27-2015,Err:502,14.1,14.1,21:00,MPO,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,14.1,MG/L,200317642,ASSAIGAI,WWUAKS,PR OILCTR 01
EDITHI,05-AUG-10,08/05/10,8-5-2015,Err:502,8.4,8.4,10:15,MPO,08-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,8.4,MG/L,200318025,WQL,WWUJCG,PR ADHOC  02
EDITHI,05-AUG-10,08/05/10,8-5-2015,Err:502,8.7,8.7,10:15,MPO,08-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,8.7,MG/L,200318026,WQL,WWUJCG,PR ADHOC  02
EDITHI,10-AUG-10,08/10/10,8-10-2015,Err:502,12,12,14:40,JG ,30-AUG-10,,HEM - SGT HEM (Oil and Grease),APPROVED,12,MG/L,200318247,WQL,WWUJCG,PR ADHOC  02
EDITHI,23-AUG-10,08/23/10,8-23-2015,Err:502,28,28,12:45,JG ,09-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,28,MG/L,200318840,HALL,WWUJCG,PR OILTPH 01
EDITHI,01-SEP-10,09/01/10,9-1-2015,Err:502,7.1,7.1,08:50,JG ,21-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,7.1,MG/L,200319279,HALL,WWUJCG,PR OILTPH 01
EDITHI,08-SEP-10,09/08/10,9-8-2015,Err:502,11,11,10:45,MPO,21-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200319485,HALL,WWUJCG,PR OILTPH 01
EDITHI,13-SEP-10,09/13/10,9-13-2015,Err:502,17,17,11:15,JG ,29-SEP-10,,HEM - SGT HEM (Oil and Grease),APPROVED,17,MG/L,200319642,HALL,WWUJCG,PR OILTPH 01
EDITHI,20-SEP-10,09/20/10,9-20-2015,Err:502,10,10,10:30,JG ,05-OCT-10,,HEM - SGT HEM (Oil and Grease),APPROVED,10,MG/L,200319969,HALL,WWUJCG,PR OILTPH 01
EDITHI,27-SEP-10,09/27/10,9-27-2015,Err:502,20,20,10:00,JG ,19-OCT-10,,HEM - SGT HEM (Oil and Grease),APPROVED,20,MG/L,200320306,HALL,WWUJCG,PR OILTPH 01
EDITHI,06-OCT-10,10/06/10,10-6-2015,Err:502,11,11,09:30,JG ,10-NOV-10,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200320753,HALL,WWUAKS,PR OILTPH 01
EDITHI,11-OCT-10,10/11/10,10-11-2015,Err:502,12,12,11:05,MPO,01-NOV-10,,HEM - SGT HEM (Oil and Grease),APPROVED,12,MG/L,200320956,HALL,WWUAKS,PR OILTPH 01
EDITHI,20-OCT-10,10/20/10,10-20-2015,Err:502,18,18,10:10,ACS,02-NOV-10,,HEM - SGT HEM (Oil and Grease),APPROVED,18,MG/L,200321543,HALL,WWUAKS,PR OILTPH 01
EDITHI,25-OCT-10,10/25/10,10-25-2015,Err:502,16,16,11:00,ACS,10-NOV-10,,HEM - SGT HEM (Oil and Grease),APPROVED,16,MG/L,200321768,HALL,WWUAKS,PR OILTPH 01
EDITHI,01-NOV-10,11/01/10,11-1-2015,Err:502,11,11,10:30,ACS,17-NOV-10,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200322083,HALL,WWUAKS,PR OILTPH 01
EDITHI,08-NOV-10,11/08/10,11-8-2015,Err:502,11,11,09:50,ACS,19-NOV-10,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200322419,HALL,WWUAKS,PR OILTPH 01
EDITHI,15-NOV-10,11/15/10,11-15-2015,Err:502,22,22,13:55,ACS,29-DEC-10,,HEM - SGT HEM (Oil and Grease),APPROVED,22,MG/L,200322717,HALL,WWUAKS,PR OILTPH 01
EDITHI,22-NOV-10,11/22/10,11-22-2015,Err:502,14,14,10:00,MPO,17-DEC-10,,HEM - SGT HEM (Oil and Grease),APPROVED,14,MG/L,200323039,HALL,WWUAKS,PR OILTPH 01
EDITHI,01-DEC-10,12/01/10,12-1-2015,Err:502,11,11,11:55,VLD,03-JAN-11,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200323433,HALL,WWUAKS,PR OILTPH 01
EDITHI,06-DEC-10,12/06/10,12-6-2015,Err:502,28,28,14:55,ARL,22-DEC-10,,HEM - SGT HEM (Oil and Grease),APPROVED,28,MG/L,200323809,HALL,WWUAKS,PR OILTPH 01
EDITHI,13-DEC-10,12/13/10,12-13-2015,Err:502,14,14,11:40,MPO,28-DEC-10,,HEM - SGT HEM (Oil and Grease),APPROVED,14,MG/L,200324129,HALL,WWUAKS,PR OILTPH 01
EDITHI,20-DEC-10,12/20/10,12-20-2015,Err:502,20,20,9:55,MPO,07-JAN-11,,HEM - SGT HEM (Oil and Grease),APPROVED,20,MG/L,200324453,HALL,WWUAKS,PR OILTPH 01
EDITHI,28-DEC-10,12/28/10,12-28-2015,Err:502,10,10,10:40,MPO,27-JAN-11,,HEM - SGT HEM (Oil and Grease),APPROVED,10,MG/L,200324778,HALL,WWUNAA,PR OILTPH 01
EDITHI,05-JAN-11,01/05/11,1-5-2015,Err:502,9.8,9.8,9:55,JG ,28-JAN-11,,HEM - SGT HEM (Oil and Grease),APPROVED,9.8,MG/L,200325103,HALL,WWUNAA,PR OILTPH 01
EDITHI,10-JAN-11,01/10/11,1-10-2015,Err:502,26,26,14:45,MPO,28-JAN-11,,HEM - SGT HEM (Oil and Grease),APPROVED,26,MG/L,200325308,HALL,WWUNAA,PR OILTPH 01
EDITHI,20-JAN-11,01/20/11,1-20-2015,Err:502,21,21,09:25,EPF,03-FEB-11,,HEM - SGT HEM (Oil and Grease),APPROVED,21,MG/L,200325771,HALL,WWUNAA,PR OILTPH 01
EDITHI,24-JAN-11,01/24/11,1-24-2015,Err:502,22,22,15:08,EPF,07-FEB-11,,HEM - SGT HEM (Oil and Grease),APPROVED,22,MG/L,200325955,HALL,WWUNAA,PR OILTPH 01
EDITHI,02-FEB-11,02/02/11,2-2-2015,Err:502,15,15,11:20,EPF,22-FEB-11,,HEM - SGT HEM (Oil and Grease),APPROVED,15,MG/L,200326330,HALL,WWUNAA,PR OILTPH 01
EDITHI,08-FEB-11,02/08/11,2-8-2015,Err:502,17,17,8:25,EPF,25-FEB-11,,HEM - SGT HEM (Oil and Grease),APPROVED,17,MG/L,200326548,HALL,WWUNAA,PR OILTPH 01
EDITHI,14-FEB-11,02/14/11,2-14-2015,Err:502,22,22,08:45,EPF,24-FEB-11,,HEM - SGT HEM (Oil and Grease),APPROVED,22,MG/L,200326856,HALL,WWUNAA,PR OILTPH 01
EDITHI,23-FEB-11,02/23/11,2-23-2015,Err:502,20,20,08:44,EPF,14-MAR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,20,MG/L,200327298,HALL,WWUMWM,PR OILTPH 01
EDITHI,28-FEB-11,02/28/11,2-28-2015,Err:502,32,32,15:15,MPO,16-MAR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,32,MG/L,200327548,HALL,WWUNAA,PR OILTPH 01
EDITHI,07-MAR-11,03/07/11,3-7-2015,Err:502,16,16,08:56,EPF,18-MAR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,16,MG/L,200327804,HALL,WWUMWM,PR OILTPH 01
EDITHI,14-MAR-11,03/14/11,3-14-2015,Err:502,24,24,12:50,EPF,11-MAY-11,,HEM - SGT HEM (Oil and Grease),APPROVED,24,MG/L,200328144,HALL,WWUNAA,PR OILTPH 01
EDITHI,21-MAR-11,03/21/11,3-21-2015,Err:502,19,19,10:00,EPF,06-APR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,19,MG/L,200328475,,WWUNAA,PR OILTPH 0
EDITHI,28-MAR-11,03/28/11,3-28-2015,Err:502,16,16,10:25,ACS,07-APR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,16,MG/L,200328834,,WWUMWM,PR OILTPH 0
EDITHI,04-APR-11,04/04/11,4-4-2015,Err:502,15,15,10:20,ACS,20-APR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,15,MG/L,200329082,,WWUMWM,PR OILTPH 0
EDITHI,11-APR-11,04/11/11,4-11-2015,Err:502,8.4,8.4,10:00,ACS,21-APR-11,,HEM - SGT HEM (Oil and Grease),APPROVED,8.4,MG/L,200329423,,WWUNAA,PR OILTPH 01
EDITHI,25-APR-11,04/25/11,4-25-2015,Err:502,27.4,27.4,09:35,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,27.4,MG/L,200330193,,WWUNAA,PR OILTPH 01
EDITHI,02-MAY-11,05/02/11,5-2-2015,Err:502,22.5,22.5,09:40,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,22.5,MG/L,200330570,,WWUNAA,PR OILTPH 01
EDITHI,09-MAY-11,05/09/11,5-9-2015,Err:502,27.9,27.9,09:45,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,27.9,MG/L,200330960,,WWUNAA,PR OILTPH 01
EDITHI,16-MAY-11,05/16/11,5-16-2015,Err:502,167.6,167.6,08:40,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,167.6,MG/L,200331437,,WWUNAA,PR OILTPH 01
EDITHI,23-MAY-11,05/23/11,5-23-2015,Err:502,30.4,30.4,8:30,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,30.4,MG/L,200331847,,WWUNAA,PR OILTPH 01
EDITHI,31-MAY-11,05/31/11,5-31-2015,Err:502,29,29,08:40,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,29,MG/L,200332147,,WWUNAA,PR OILTPH 01
EDITHI,06-JUN-11,06/06/11,6-6-2015,Err:502,346.6,346.6,09:35,ACS,15-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,346.6,MG/L,200332396,,WWUNAA,PR OILTPH 01
EDITHI,13-JUN-11,06/13/11,6-13-2015,Err:502,14.6,14.6,09:05,ACS,05-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,14.6,MG/L,200332767,,WWUNAA,PR OILTPH 01
EDITHI,20-JUN-11,06/20/11,6-20-2015,Err:502,38.2,38.2,9:00,ACS,15-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,38.2,MG/L,200333096,,WWUNAA,PR OILTPH 01
EDITHI,27-JUN-11,06/27/11,6-27-2015,Err:502,25.5,25.5,09:45,ACS,15-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,25.5,MG/L,200333536,,WWUNAA,PR OILTPH 01
EDITHI,06-JUL-11,07/06/11,7-6-2015,Err:502,11.5,11.5,10:15,ACS,26-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,11.5,MG/L,200333921,,WWUNAA,PR OILTPH 01
EDITHI,11-JUL-11,07/11/11,7-11-2015,Err:502,36,36,09:15,ACS,27-JUL-11,,HEM - SGT HEM (Oil and Grease),APPROVED,36,MG/L,200334150,,WWUNAA,PR OILTPH 01
EDITHI,18-JUL-11,07/18/11,7-18-2015,Err:502,20.5,20.5,08:35,ACS,19-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,20.5,MG/L,200334568,,WWUNAA,PR OILTPH 01
EDITHI,25-JUL-11,07/25/11,7-25-2015,Err:502,30,30,09:20,ACS,10-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,30,MG/L,200334961,,WWUNAA,PR OILTPH 01
EDITHI,01-AUG-11,08/01/11,8-1-2015,Err:502,9.5,9.5,09:20,ACS,16-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,9.5,MG/L,200335310,,WWUNAA,PR OILTPH 01
EDITHI,08-AUG-11,08/08/11,8-8-2015,Err:502,21.5,21.5,09:30,ACS,26-AUG-11,,HEM - SGT HEM (Oil and Grease),APPROVED,21.5,MG/L,200335679,,WWUNAA,PR OILTPH 01
EDITHI,15-AUG-11,08/15/11,8-15-2015,Err:502,17.8,17.8,11:45,ACS,08-SEP-11,,HEM - SGT HEM (Oil and Grease),APPROVED,17.8,MG/L,200336024,,WWUNAA,PR OILTPH 01
EDITHI,22-AUG-11,08/22/11,8-22-2015,Err:502,7.8,7.8,9:35,ACS,02-SEP-11,,HEM - SGT HEM (Oil and Grease),APPROVED,7.8,MG/L,200336382,,WWUAKS,PR OILTPH 01
EDITHI,29-AUG-11,08/29/11,8-29-2015,Err:502,11,11,09:35,ACS,14-SEP-11,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200336743,,WWUNAA,PR OILTPH 01
EDITHI,06-SEP-11,09/06/11,9-6-2015,Err:502,10,10,12:20,ACS,25-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,10,MG/L,200337007,,WWUAKS,PR OILTPH 01
EDITHI,12-SEP-11,09/12/11,9-12-2015,Err:502,11,11,11:35,ACS,06-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,11,MG/L,200337332,,WWUNAA,PR OILTPH 01
EDITHI,19-SEP-11,09/19/11,9-19-2015,Err:502,8.9,8.9,09:45,ACS,13-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,8.9,MG/L,200337649,,WWUNAA,PR OILTPH 01
EDITHI,26-SEP-11,09/26/11,9-26-2015,Err:502,5,<5.0,10:00,ACS,13-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,<5.0,MG/L,200338021,,WWUNAA,PR OILTPH 01
EDITHI,03-OCT-11,10/03/11,10-3-2015,Err:502,6.9,6.9,09:25,ACS,17-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,6.9,MG/L,200338337,,WWUNAA,PR OILTPH 01
EDITHI,10-OCT-11,10/10/11,10-10-2015,Err:502,6.6,6.6,13:00,ACS,25-OCT-11,,HEM - SGT HEM (Oil and Grease),APPROVED,6.6,MG/L,200338884,,WWUNAA,PR OILTPH 01
